"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2018";"0000";"18,4";"19,0";"18,4";"";"";"";"";"";"";"912,8";"912,8";"912,3";"1,5";"85,0";"4,3";"";"0,0"
"01/01/2018";"0100";"18,2";"18,5";"18,1";"";"";"";"";"";"";"913,4";"913,4";"912,8";"1,1";"38,0";"3,5";"";"0,2"
"01/01/2018";"0200";"18,1";"18,2";"18,0";"";"";"";"";"";"";"913,7";"913,8";"913,4";"0,4";"68,0";"2,7";"";"0,0"
"01/01/2018";"0300";"17,9";"18,0";"17,8";"";"";"";"";"";"";"913,4";"913,7";"913,4";"1,3";"360,0";"2,1";"";"0,0"
"01/01/2018";"0400";"17,9";"18,0";"17,9";"";"";"";"";"";"";"912,9";"913,4";"912,9";"0,2";"275,0";"2,1";"";"0,2"
"01/01/2018";"0500";"17,9";"18,0";"17,9";"";"";"";"";"";"";"912,1";"912,9";"912,1";"0,7";"339,0";"1,5";"";"0,0"
"01/01/2018";"0600";"18,0";"18,0";"17,9";"";"";"";"";"";"";"911,8";"912,2";"911,8";"1,2";"319,0";"2,5";"";"0,0"
"01/01/2018";"0700";"17,9";"18,0";"17,9";"";"";"";"";"";"";"911,8";"911,8";"911,7";"1,5";"322,0";"3,3";"";"0,2"
"01/01/2018";"0800";"18,0";"18,0";"17,9";"";"";"";"";"";"";"911,7";"911,8";"911,4";"1,4";"316,0";"3,3";"";"0,0"
"01/01/2018";"0900";"18,1";"18,1";"18,0";"";"";"";"";"";"";"912,0";"912,0";"911,6";"2,3";"328,0";"4,9";"17,60";"0,0"
"01/01/2018";"1000";"18,2";"18,2";"18,1";"";"";"";"";"";"";"912,1";"912,2";"911,9";"2,4";"311,0";"4,9";"67,00";"0,0"
"01/01/2018";"1100";"18,9";"19,0";"18,2";"";"";"";"";"";"";"912,3";"912,3";"911,9";"1,9";"316,0";"4,9";"431,70";"0,0"
"01/01/2018";"1200";"19,3";"19,3";"18,8";"";"";"";"";"";"";"912,8";"912,8";"912,2";"2,9";"312,0";"7,4";"450,30";"0,0"
"01/01/2018";"1300";"20,8";"20,9";"19,3";"";"";"";"";"";"";"913,1";"913,1";"912,8";"2,7";"320,0";"7,4";"1200,60";"0,0"
"01/01/2018";"1400";"21,6";"21,8";"20,5";"";"";"";"";"";"";"912,9";"913,2";"912,9";"2,6";"304,0";"6,4";"1371,60";"0,0"
"01/01/2018";"1500";"23,3";"23,3";"21,5";"";"";"";"";"";"";"912,2";"912,9";"912,2";"2,4";"311,0";"7,5";"1814,60";"0,0"
"01/01/2018";"1600";"25,5";"25,5";"23,3";"";"";"";"";"";"";"911,3";"912,2";"911,3";"1,8";"321,0";"8,2";"2608,30";"0,0"
"01/01/2018";"1700";"26,5";"26,6";"25,1";"";"";"";"";"";"";"911,0";"911,3";"910,8";"1,6";"300,0";"7,2";"2383,90";"0,0"
"01/01/2018";"1800";"27,1";"27,8";"25,4";"";"";"";"";"";"";"909,8";"911,0";"909,7";"2,1";"316,0";"5,0";"2620,20";"0,0"
"01/01/2018";"1900";"26,7";"27,1";"26,5";"";"";"";"";"";"";"909,2";"909,8";"909,1";"1,2";"309,0";"5,1";"1681,50";"0,0"
"01/01/2018";"2000";"26,0";"26,8";"25,9";"";"";"";"";"";"";"909,4";"909,4";"909,0";"0,5";"288,0";"4,3";"897,70";"0,0"
"01/01/2018";"2100";"22,8";"26,0";"22,8";"";"";"";"";"";"";"909,7";"909,7";"909,3";"1,0";"162,0";"3,2";"494,60";"0,0"
"01/01/2018";"2200";"21,6";"22,8";"21,5";"";"";"";"";"";"";"910,0";"910,0";"909,7";"0,9";"184,0";"2,5";"110,30";"0,0"
"01/01/2018";"2300";"20,7";"21,6";"20,5";"";"";"";"";"";"";"910,6";"910,6";"910,0";"0,9";"130,0";"2,5";"";"0,0"
"02/01/2018";"0000";"20,2";"20,8";"20,2";"";"";"";"";"";"";"910,9";"910,9";"910,5";"0,7";"122,0";"2,3";"";"0,8"
"02/01/2018";"0100";"19,2";"20,2";"19,2";"";"";"";"";"";"";"911,6";"911,7";"910,9";"1,8";"338,0";"3,9";"";"0,0"
"02/01/2018";"0200";"18,9";"19,2";"18,9";"";"";"";"";"";"";"911,0";"911,7";"910,9";"0,5";"169,0";"3,9";"";"0,0"
"02/01/2018";"0300";"19,2";"19,5";"18,9";"";"";"";"";"";"";"910,3";"911,0";"910,2";"0,3";"117,0";"1,7";"";"0,0"
"02/01/2018";"0400";"20,0";"20,0";"19,1";"";"";"";"";"";"";"910,2";"910,6";"910,2";"0,6";"270,0";"2,5";"";"0,2"
"02/01/2018";"0500";"19,4";"19,9";"19,3";"";"";"";"";"";"";"909,3";"910,2";"909,3";"0,6";"323,0";"2,0";"";"0,0"
"02/01/2018";"0600";"18,6";"19,5";"18,6";"";"";"";"";"";"";"908,4";"909,3";"908,4";"1,1";"331,0";"2,5";"";"0,0"
"02/01/2018";"0700";"18,4";"18,6";"18,4";"";"";"";"";"";"";"908,0";"908,4";"908,0";"1,0";"333,0";"2,6";"";"0,0"
"02/01/2018";"0800";"18,3";"18,5";"18,3";"";"";"";"";"";"";"907,2";"908,0";"907,2";"0,9";"343,0";"1,9";"";"0,0"
"02/01/2018";"0900";"18,3";"18,4";"18,2";"";"";"";"";"";"";"906,9";"907,2";"906,9";"0,9";"310,0";"2,8";"25,10";"0,0"
"02/01/2018";"1000";"19,1";"19,1";"18,3";"";"";"";"";"";"";"907,0";"907,2";"906,9";"1,5";"309,0";"4,4";"266,40";"0,0"
"02/01/2018";"1100";"20,1";"20,1";"19,1";"";"";"";"";"";"";"907,0";"907,1";"906,9";"1,9";"299,0";"5,1";"670,50";"0,0"
"02/01/2018";"1200";"20,5";"20,5";"20,1";"";"";"";"";"";"";"906,8";"907,0";"906,8";"2,6";"299,0";"7,0";"933,30";"0,0"
"02/01/2018";"1300";"23,4";"23,4";"20,4";"";"";"";"";"";"";"906,5";"906,9";"906,5";"3,3";"326,0";"7,8";"2385,00";"0,0"
"02/01/2018";"1400";"24,0";"24,8";"22,8";"";"";"";"";"";"";"906,6";"906,7";"906,5";"2,6";"305,0";"10,1";"2812,80";"0,0"
"02/01/2018";"1500";"23,2";"24,9";"22,4";"";"";"";"";"";"";"906,5";"906,7";"906,5";"2,2";"299,0";"9,1";"1736,20";"0,0"
"02/01/2018";"1600";"24,7";"26,1";"23,2";"";"";"";"";"";"";"906,0";"906,5";"905,9";"3,2";"297,0";"9,3";"3410,90";"0,0"
"02/01/2018";"1700";"23,8";"25,3";"23,8";"";"";"";"";"";"";"906,0";"906,1";"905,9";"3,2";"295,0";"8,0";"1928,60";"0,0"
"02/01/2018";"1800";"24,5";"24,6";"23,7";"";"";"";"";"";"";"905,2";"906,0";"905,1";"2,0";"282,0";"7,7";"1580,40";"0,0"
"02/01/2018";"1900";"24,6";"25,0";"24,0";"";"";"";"";"";"";"904,7";"905,2";"904,7";"1,9";"290,0";"6,4";"1283,90";"0,0"
"02/01/2018";"2000";"23,8";"24,7";"23,8";"";"";"";"";"";"";"904,5";"904,7";"904,3";"2,1";"312,0";"6,3";"821,80";"0,0"
"02/01/2018";"2100";"23,1";"23,8";"23,1";"";"";"";"";"";"";"904,9";"904,9";"904,5";"1,7";"321,0";"6,5";"395,40";"0,0"
"02/01/2018";"2200";"20,8";"23,1";"20,7";"";"";"";"";"";"";"905,4";"905,4";"904,9";"1,0";"274,0";"4,1";"30,60";"7,6"
"02/01/2018";"2300";"19,8";"20,8";"19,8";"";"";"";"";"";"";"906,1";"906,2";"905,4";"1,7";"192,0";"4,4";"";"8,4"
"03/01/2018";"0000";"19,4";"19,9";"19,4";"";"";"";"";"";"";"906,1";"906,2";"905,9";"1,3";"160,0";"3,9";"";"3,2"
"03/01/2018";"0100";"19,1";"19,5";"19,1";"";"";"";"";"";"";"906,8";"906,9";"906,1";"2,0";"176,0";"5,1";"";"0,4"
"03/01/2018";"0200";"17,3";"19,1";"17,3";"";"";"";"";"";"";"907,5";"907,5";"906,8";"2,8";"185,0";"6,9";"";"0,4"
"03/01/2018";"0300";"16,6";"17,3";"16,6";"";"";"";"";"";"";"907,1";"907,6";"907,1";"3,3";"197,0";"8,6";"";"0,2"
