"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2021";"0000";"17,5";"17,9";"17,5";"";"";"";"";"";"";"915,1";"915,2";"914,5";"2,5";"169,0";"6,7";"";"3,2"
"01/01/2021";"0100";"17,1";"17,5";"17,1";"";"";"";"";"";"";"915,4";"915,6";"915,0";"2,9";"167,0";"7,4";"0,10";"0,0"
"01/01/2021";"0200";"17,1";"17,2";"17,1";"";"";"";"";"";"";"915,6";"915,8";"915,3";"2,9";"171,0";"7,4";"0,20";"0,2"
"01/01/2021";"0300";"16,8";"17,1";"16,8";"";"";"";"";"";"";"915,7";"916,0";"915,3";"2,2";"159,0";"6,9";"";"0,0"
"01/01/2021";"0400";"16,2";"16,8";"16,2";"";"";"";"";"";"";"915,1";"915,7";"914,9";"3,9";"158,0";"8,4";"0,20";"0,0"
"01/01/2021";"0500";"16,3";"16,4";"16,2";"";"";"";"";"";"";"915,2";"915,4";"915,1";"2,9";"165,0";"8,1";"0,40";"0,0"
"01/01/2021";"0600";"16,3";"16,4";"16,2";"";"";"";"";"";"";"914,8";"915,3";"914,8";"2,4";"163,0";"6,5";"";"0,0"
"01/01/2021";"0700";"15,8";"16,3";"15,8";"";"";"";"";"";"";"914,7";"914,8";"914,7";"2,7";"163,0";"6,4";"";"0,2"
"01/01/2021";"0800";"16,0";"16,0";"15,8";"";"";"";"";"";"";"915,5";"915,5";"914,7";"1,3";"160,0";"5,9";"";"0,0"
"01/01/2021";"0900";"16,0";"16,0";"15,9";"";"";"";"";"";"";"915,8";"915,8";"915,5";"1,5";"150,0";"2,9";"22,40";"0,0"
"01/01/2021";"1000";"16,2";"16,3";"16,0";"";"";"";"";"";"";"916,5";"916,5";"915,8";"1,7";"161,0";"4,2";"103,00";"0,0"
"01/01/2021";"1100";"16,0";"16,2";"15,6";"";"";"";"";"";"";"916,9";"917,0";"916,4";"2,3";"167,0";"6,2";"352,40";"0,0"
"01/01/2021";"1200";"16,3";"16,6";"15,9";"";"";"";"";"";"";"917,5";"917,5";"916,9";"2,5";"167,0";"6,6";"704,30";"0,0"
"01/01/2021";"1300";"16,8";"17,7";"16,3";"";"";"";"";"";"";"917,4";"917,5";"917,1";"3,2";"152,0";"7,6";"1555,00";"0,0"
